ID,Case_Number,Date_Time,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,Latitude,Longitude
9924551,HY134069,01/30/2015 01:25:16 PM,034XX N LARAMIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,NO,NO,1634,16.0,38,15,14,41.943722539,-87.756702221
9928944,HY138388,02/02/2015 10:40:27 PM,044XX S FAIRFIELD AVE,0820,THEFT,$500 AND UNDER,STREET,NO,NO,922,9.0,12,58,06,41.812569201,-87.692966973
9930603,HY140546,02/05/2015 11:00:57 AM,010XX W NORTH AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,NO,NO,1811,18.0,32,7,06,41.910947173,-87.65320705
9933084,HY143345,02/07/2015 03:59:16 PM,099XX S NORMAL AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,NO,YES,2232,22.0,9,73,26,41.713604852,-87.635579423
9921060,HY131024,01/27/2015 07:35:41 PM,011XX N LARAMIE AVE,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,STREET,YES,NO,1524,15.0,37,25,08B,41.901709875,-87.755908582
9933119,HY143282,02/06/2015 09:00:17 PM,046XX N MARINE DR,0460,BATTERY,SIMPLE,STREET,NO,NO,1914,19.0,46,3,08B,41.966165595,-87.648931984
9930938,HY140998,02/05/2015 02:00:34 PM,010XX N CICERO AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,NO,NO,1531,15.0,37,25,03,41.898775629,-87.746039505
9917062,HY127547,01/24/2015 09:10:36 PM,046XX S WASHTENAW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,NO,YES,922,9.0,12,58,08B,41.809635385,-87.691950794
9924916,HY134732,01/30/2015 09:45:43 PM,026XX W 59TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,NO,NO,824,8.0,16,63,14,41.786579699,-87.689819259
9926673,HY137075,02/02/2015 12:42:43 PM,003XX N CICERO AVE,0850,THEFT,ATTEMPT THEFT,PARKING LOT/GARAGE(NON.RESID.),YES,NO,1532,15.0,28,25,06,41.885760253,-87.745615203
9921604,HY131529,01/28/2015 08:30:34 AM,008XX S JEFFERSON ST,0560,ASSAULT,SIMPLE,STREET,NO,NO,124,1.0,2,28,08A,41.871589368,-87.642187404
9925251,HY135268,01/30/2015 10:00:45 PM,023XX S MICHIGAN AVE,0890,THEFT,FROM BUILDING,RESTAURANT,NO,NO,132,1.0,2,33,06,41.850128403,-87.62358946
9932722,HY142872,02/01/2015 03:00:51 PM,039XX N PINE GROVE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,NO,NO,1925,19.0,46,6,06,41.953026499,-87.648039535
9933674,HY144178,02/08/2015 08:00:25 AM,040XX N LAPORTE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,NO,NO,1624,16.0,45,15,14,41.954906251,-87.750925076
9921764,HY131656,01/24/2015 11:00:47 PM,010XX E 93RD ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,NO,NO,413,4.0,8,47,06,41.725689,-87.598310365
9926833,HY137459,02/02/2015 12:00:17 AM,052XX S KEDZIE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,NO,NO,923,9.0,14,63,14,41.797402257,-87.70351864
9931135,HY141290,02/05/2015 11:00:48 PM,042XX W IOWA ST,0475,BATTERY,OF UNBORN CHILD,RESIDENCE,YES,YES,1111,11.0,37,23,08B,41.897203828,-87.731850122
9928390,HY138966,02/04/2015 03:17:59 AM,101XX S AVENUE N,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,NO,NO,432,4.0,10,52,05,41.710799903,-87.538756779
9929445,HY139706,02/04/2015 05:00:15 PM,064XX S VERNON AVE,0460,BATTERY,SIMPLE,SIDEWALK,NO,NO,312,3.0,20,42,08B,41.777208576,-87.614484283
9926942,HY137615,02/02/2015 05:00:51 PM,004XX W ONTARIO ST,0820,THEFT,$500 AND UNDER,STREET,NO,NO,1831,18.0,42,8,06,41.893235298,-87.638894613
9918025,HY126105,01/23/2015 03:30:11 PM,018XX W BARRY AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,NO,NO,1931,,32,5,05,,
9926190,HY136538,02/01/2015 05:30:55 PM,086XX S MUSKEGON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,YES,YES,423,4.0,10,46,08B,41.738166455,-87.55524086
9927978,HY137958,01/30/2015 09:00:27 AM,052XX S STATE ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",NO,NO,225,2.0,3,40,08B,41.798488523,-87.625655865
9929573,HY139883,02/04/2015 06:56:17 PM,039XX W ROOSEVELT RD,2027,NARCOTICS,POSS: CRACK,STREET,YES,NO,1132,11.0,24,29,18,41.866288256,-87.724771684
9916331,HY126541,01/24/2015 12:25:23 AM,009XX S CICERO AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,ALLEY,YES,NO,1131,11.0,24,25,16,41.869449301,-87.744714588
9936596,HY146747,02/07/2015 09:29:27 PM,051XX N WESTERN AVE,0820,THEFT,$500 AND UNDER,STREET,NO,NO,2031,20.0,47,4,06,41.975428554,-87.688984442
9930814,HY140859,02/05/2015 04:15:54 PM,050XX W DIVISION ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,NO,NO,2533,25.0,37,25,03,41.902409559,-87.750998322
9919395,HY129727,01/26/2015 12:00:50 PM,025XX E 95TH ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),NO,NO,431,4.0,7,51,06,41.722508438,-87.563129619
9920996,HY131050,01/26/2015 06:10:47 PM,056XX S MENARD AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,NO,NO,811,8.0,23,56,06,41.790119812,-87.76694392
9917111,HY127585,01/24/2015 09:25:14 PM,024XX W LITHUANIAN PLAZA CT,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,YES,NO,832,8.0,15,66,15,41.768202876,-87.684757326
9932811,HY142828,02/06/2015 10:00:27 PM,069XX S SOUTH SHORE DR,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,NO,NO,331,3.0,5,43,07,41.76972051,-87.566689124
9933484,HY143954,02/08/2015 05:00:20 AM,091XX S COTTAGE GROVE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,HOTEL/MOTEL,YES,NO,633,6.0,6,44,14,41.728757168,-87.604778018
9931054,HY141180,02/05/2015 09:00:28 PM,085XX S SAGINAW AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,YES,NO,423,4.0,7,46,24,41.74072697,-87.560130874
9921757,HY131518,01/26/2015 11:00:55 PM,038XX W ROSCOE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,NO,NO,1732,17.0,30,21,07,41.942883316,-87.724378354
9926746,HY136431,02/01/2015 12:00:46 PM,012XX W GRACE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,NO,NO,1923,,44,6,26,,
9934004,HY144645,02/08/2015 08:23:38 PM,001XX S SPRINGFIELD AVE,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,STREET,YES,NO,1122,11.0,28,26,18,41.879410287,-87.723035165
9915961,HY126092,01/23/2015 04:42:44 PM,014XX N HUDSON AVE,1330,CRIMINAL TRESPASS,TO LAND,"SCHOOL, PRIVATE, GROUNDS",YES,NO,1821,18.0,27,8,26,41.90827132,-87.639863175
9933358,HY143803,02/07/2015 10:00:57 PM,104XX S MORGAN ST,0820,THEFT,$500 AND UNDER,RESIDENCE,NO,YES,2232,22.0,34,73,06,41.70389559,-87.647457878
9930874,HY140855,02/05/2015 03:45:18 PM,078XX S BURNHAM AVE,0460,BATTERY,SIMPLE,STREET,YES,NO,421,4.0,7,43,08B,41.752485334,-87.557138561
9932031,HY141795,02/03/2015 08:00:16 PM,060XX N LINCOLN AVE,0620,BURGLARY,UNLAWFUL ENTRY,HOTEL/MOTEL,NO,NO,1711,17.0,50,13,05,41.992285142,-87.710679665
9927290,HY137880,01/31/2015 08:00:34 PM,039XX W COLUMBUS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),NO,NO,834,8.0,18,70,07,41.736022368,-87.721133715
9922830,HY132920,01/28/2015 02:00:20 PM,017XX W THORNDALE AVE,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,NO,NO,2012,20.0,40,77,07,41.988492813,-87.671943495
9925748,HY135898,01/31/2015 10:45:51 PM,0000X N KENTON AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,YES,NO,1113,11.0,28,25,16,41.881212919,-87.740255128
9917869,HY128615,01/25/2015 01:00:13 PM,047XX W BERENICE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,NO,YES,1731,17.0,38,15,26,41.950585717,-87.745317857
9924085,HY133881,01/29/2015 11:00:47 AM,036XX N MILWAUKEE AVE,0810,THEFT,OVER $500,"SCHOOL, PUBLIC, BUILDING",NO,NO,1731,17.0,38,16,06,41.94646373,-87.735717521
9925094,HY134976,01/31/2015 07:25:33 AM,070XX S CARPENTER ST,0560,ASSAULT,SIMPLE,APARTMENT,YES,YES,733,7.0,17,68,08A,41.766295592,-87.650653531
9919386,HY129917,01/26/2015 07:34:38 PM,006XX N LECLAIRE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,YES,NO,1532,15.0,28,25,18,41.892888598,-87.752932246
9919490,HY129969,01/25/2015 05:21:22 PM,001XX S MICHIGAN AVE,0810,THEFT,OVER $500,CONVENIENCE STORE,NO,NO,112,1.0,42,32,06,41.880254939,-87.624504689
9929688,HY140047,02/04/2015 10:40:23 PM,040XX W MADISON ST,2027,NARCOTICS,POSS: CRACK,CTA BUS,YES,NO,1115,11.0,28,26,18,41.880611783,-87.726049563
9916685,HY126997,01/24/2015 12:48:17 PM,046XX W IRVING PARK RD,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,YES,NO,1722,17.0,45,15,06,41.953553633,-87.745058971
9933757,HY144117,02/08/2015 11:15:41 AM,044XX S WOOD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,NO,NO,924,9.0,12,61,08B,41.813834658,-87.669818376
9924847,HY134659,01/30/2015 09:05:31 PM,037XX W CHICAGO AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,YES,NO,1112,11.0,27,23,26,41.895318169,-87.719849868
9933657,HY144173,02/08/2015 11:55:40 AM,059XX S WESTERN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),YES,NO,824,8.0,16,66,18,41.786346469,-87.683973146
9915838,HY125959,01/23/2015 01:00:26 PM,018XX W CULLERTON ST,0820,THEFT,$500 AND UNDER,STREET,NO,NO,1234,12.0,25,31,06,41.85487804,-87.671266354
9929792,HY140172,02/05/2015 04:30:51 AM,097XX S MANISTEE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,NO,NO,431,4.0,10,51,07,41.718669699,-87.556688506
9924751,HY134544,01/29/2015 04:00:22 PM,082XX S AVALON AVE,0810,THEFT,OVER $500,RESIDENCE,NO,NO,411,4.0,8,45,06,41.745439482,-87.593984672
9917342,HY127883,01/25/2015 04:04:31 AM,039XX W LAWRENCE AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,YES,NO,1712,17.0,39,14,24,41.968357256,-87.727379056
9916446,HY126701,01/23/2015 07:30:38 PM,074XX S GREEN ST,0460,BATTERY,SIMPLE,SIDEWALK,NO,NO,733,7.0,17,68,08B,41.759585986,-87.645626343
9939293,HY149504,02/08/2015 01:30:34 AM,057XX S ARCHER AVE,0890,THEFT,FROM BUILDING,BAR OR TAVERN,NO,NO,814,8.0,23,56,06,41.796614162,-87.757282011
9932642,HY142677,02/07/2015 02:15:23 AM,008XX W BELMONT AVE,0870,THEFT,POCKET-PICKING,SIDEWALK,NO,NO,1924,19.0,44,6,06,41.9400723,-87.650548974
9925575,HY135162,01/31/2015 11:35:21 AM,072XX S SANGAMON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,NO,YES,733,7.0,17,68,08B,41.762441288,-87.648128627
9920897,HY130893,01/27/2015 06:25:54 PM,004XX N LOCKWOOD AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,YES,NO,1523,15.0,28,25,18,41.888603971,-87.757668267
9921737,HY131737,01/28/2015 09:00:28 AM,015XX E 71ST ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,NO,NO,324,3.0,5,43,26,41.765846573,-87.588112787
9916726,HY127112,01/24/2015 02:00:41 PM,046XX N MAGNOLIA AVE,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,NO,NO,1913,19.0,46,3,08A,41.966180545,-87.661216779
9915869,HY125823,01/23/2015 12:15:38 PM,002XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,RESTAURANT,NO,NO,114,1.0,42,32,06,41.886535761,-87.624383849
9922894,HY132882,01/29/2015 01:30:31 PM,015XX W 80TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,NO,NO,612,6.0,21,71,08B,41.748649188,-87.662677142
9921487,HY131322,01/27/2015 08:00:27 PM,024XX N BURLING ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,NO,NO,1935,19.0,43,7,14,41.927176961,-87.647742993
9924993,HY134850,01/31/2015 01:10:31 AM,003XX E KENSINGTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,YES,YES,532,5.0,9,53,08B,41.684086017,-87.615393636
9919248,HY129730,01/23/2015 01:00:11 PM,049XX S CICERO AVE,0810,THEFT,OVER $500,ABANDONED BUILDING,NO,NO,815,8.0,23,56,06,41.803791602,-87.742909887
9916069,HY126031,01/23/2015 04:13:57 PM,079XX S EXCHANGE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,YES,NO,422,4.0,7,46,18,41.75147785,-87.553038861
9917034,HY127390,01/24/2015 06:15:35 PM,020XX W MAYPOLE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,NO,NO,1223,12.0,2,28,04A,41.884103847,-87.677883364
9925687,HY135820,01/31/2015 09:30:14 PM,007XX S CICERO AVE,0334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,CTA TRAIN,NO,NO,1533,15.0,24,25,03,41.871476403,-87.745074166
9920268,HY130392,01/26/2015 07:00:33 PM,028XX N LARAMIE AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),NO,NO,2514,25.0,31,19,06,41.93185593,-87.756584935
9928164,HY138434,02/02/2015 11:00:15 AM,016XX N MASON AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,NO,NO,2531,25.0,29,25,06,41.9105598,-87.774157634
9932760,HY142910,02/07/2015 10:20:42 AM,036XX W LEXINGTON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,YES,NO,1133,11.0,24,27,18,41.871837119,-87.717049036
9934492,HY145035,01/23/2015 09:00:40 AM,007XX N WABASH AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),NO,NO,1833,18.0,42,8,06,41.896292035,-87.626692799
9936092,HY140097,02/05/2015 12:01:24 AM,020XX W VAN BUREN ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,NO,YES,1225,12.0,2,28,26,41.876302767,-87.678506519
9927914,HY137980,02/03/2015 08:00:11 AM,050XX W HARRISON ST,0820,THEFT,$500 AND UNDER,STREET,NO,NO,1533,15.0,24,25,06,41.872884769,-87.751108515
9931079,HY141226,02/05/2015 10:22:10 PM,040XX W ARMITAGE AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,YES,NO,2534,25.0,30,20,26,41.917041816,-87.727655311
9930316,HY140309,02/04/2015 08:00:25 PM,060XX N BROADWAY,0610,BURGLARY,FORCIBLE ENTRY,GROCERY FOOD STORE,NO,NO,2433,24.0,48,77,05,41.991867365,-87.660472077
9928288,HY138780,02/03/2015 07:20:49 AM,006XX W 43RD ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,NO,NO,925,9.0,11,61,05,41.816356454,-87.641868139
9929842,HY140211,02/04/2015 09:00:21 PM,030XX S AVERS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,NO,NO,1031,10.0,22,30,14,41.837689855,-87.72055837
9920484,HY130466,01/27/2015 12:40:35 PM,004XX W EVERGREEN AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,YES,NO,1821,18.0,27,8,26,41.906397605,-87.639053221
9928262,HY138832,02/03/2015 09:10:25 PM,066XX S MOZART ST,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,YES,NO,831,8.0,15,66,26,41.773448677,-87.694320404
9923994,HY133777,01/29/2015 08:00:36 AM,016XX E 77TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,NO,NO,414,4.0,8,43,14,41.755035032,-87.584045173
9931779,HY141517,02/01/2015 07:45:28 AM,048XX W FERDINAND ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,NO,YES,1532,15.0,28,25,26,41.889659774,-87.747753666
9929054,HY139335,02/04/2015 12:10:45 PM,052XX N MC VICKER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,NO,YES,1622,16.0,45,11,08B,41.977149188,-87.779430332
9933809,HY144352,02/08/2015 02:30:33 PM,002XX W 111TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,YES,NO,513,5.0,34,49,18,41.692630545,-87.628479679
9938642,HY148606,01/25/2015 12:00:20 AM,050XX W SCHOOL ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,NO,YES,1634,16.0,38,15,26,41.940680994,-87.753245183
9925462,HY135571,01/31/2015 12:45:52 PM,005XX W HAWTHORNE PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,NO,NO,1925,19.0,44,6,14,41.944717206,-87.642574402
9922940,HY132958,01/28/2015 10:00:47 PM,024XX N CLYBOURN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,NO,NO,1931,19.0,32,7,07,41.926714194,-87.671295824
9933102,HY143350,02/07/2015 02:30:10 PM,015XX E 67TH ST,0870,THEFT,POCKET-PICKING,DRUG STORE,NO,NO,332,3.0,5,43,06,41.773213287,-87.587426299
9926286,HY136715,02/02/2015 12:16:56 AM,003XX S LARAMIE AVE,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,YES,NO,1533,15.0,28,25,18,41.876572389,-87.754779988
9922071,HY132133,01/28/2015 06:27:25 PM,044XX W DICKENS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,NO,NO,2522,25.0,31,20,14,41.9187416,-87.73836455
9925537,HY135647,01/31/2015 06:00:47 PM,013XX S CANAL ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,YES,NO,124,1.0,2,28,06,41.864494565,-87.639304838
9929288,HY139487,02/04/2015 02:00:49 AM,017XX N LUNA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,NO,NO,2532,25.0,37,25,07,41.911801914,-87.764451331
9917757,HY127354,01/24/2015 09:30:47 AM,011XX N KEDZIE AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,NO,YES,1121,,26,23,26,,
9926611,HY137037,02/02/2015 11:45:48 AM,026XX S CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,NO,NO,1034,10.0,12,30,06,41.84351413,-87.695032994
9917737,HY128502,01/25/2015 06:00:13 PM,047XX S CICERO AVE,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,NO,NO,815,8.0,23,56,26,41.80744197,-87.743001081
9933645,HY144170,02/08/2015 10:00:47 AM,047XX W VAN BUREN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,NO,YES,1131,11.0,24,25,08B,41.874933869,-87.743412182
9917776,HY128538,01/25/2015 07:20:22 PM,008XX N LARAMIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENTIAL YARD (FRONT/BACK),YES,NO,1531,15.0,37,25,18,41.895898159,-87.755479772
9927947,HY138164,02/03/2015 11:40:27 AM,062XX S HAMLIN AVE,0890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",NO,NO,823,8.0,13,65,06,41.780460907,-87.718049411
9933204,HY143606,02/07/2015 05:30:21 PM,064XX N WASHTENAW AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,NO,NO,2412,24.0,50,2,05,41.99813801,-87.697077004
9915807,HY125747,01/23/2015 09:30:38 AM,037XX W FULLERTON AVE,0820,THEFT,$500 AND UNDER,PAWN SHOP,NO,NO,2525,25.0,35,22,06,41.924456764,-87.719908867
9922691,HY132509,01/29/2015 07:18:18 AM,0000X W 79TH ST,0460,BATTERY,SIMPLE,CTA PLATFORM,NO,NO,623,6.0,6,44,08B,41.750830947,-87.6251791
9926907,HY137311,02/02/2015 03:45:38 PM,064XX N TROY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,NO,NO,2412,24.0,50,2,08B,41.998044681,-87.708059351
9926162,HY136478,01/31/2015 09:00:14 PM,044XX W JACKSON BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,NO,NO,1113,11.0,28,26,07,41.877062532,-87.736338843
9929795,HY140090,02/04/2015 10:30:51 PM,086XX S MAY ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE-GARAGE,NO,NO,613,6.0,21,71,02,41.737589058,-87.652316967
9932770,HY142816,02/05/2015 02:00:48 AM,035XX W IRVING PARK RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,NO,YES,1723,17.0,33,16,08B,41.953924482,-87.715865497
9921192,HY131267,01/28/2015 02:37:21 AM,051XX S PAULINA ST,0560,ASSAULT,SIMPLE,STREET,YES,NO,932,9.0,16,61,08A,41.801111653,-87.667356671
9933336,HY143784,02/07/2015 11:35:54 PM,062XX S PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,YES,NO,823,8.0,13,65,18,41.778912821,-87.72262144
9928310,HY138884,02/03/2015 11:30:36 PM,032XX E 91ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,NO,YES,424,4.0,10,46,08B,41.730257132,-87.545140707
9931140,HY141240,02/05/2015 10:51:37 PM,003XX E 60TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,NO,NO,232,2.0,20,40,03,41.785762231,-87.618836444
9921662,HY131558,01/27/2015 03:00:21 PM,040XX W 115TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,NO,NO,2211,22.0,19,74,14,41.684041796,-87.722120932
9926041,HY136309,02/01/2015 12:20:44 PM,071XX S JEFFERY BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,NO,YES,333,3.0,5,43,08B,41.764784915,-87.576417468
9917717,HY128216,01/24/2015 01:30:32 AM,0000X W HUBBARD ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,NO,NO,1831,18.0,42,8,06,41.889920125,-87.630303465
9932713,HY142832,02/07/2015 08:40:27 AM,048XX W QUINCY ST,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,VEHICLE NON-COMMERCIAL,YES,NO,1533,15.0,28,25,18,41.877578864,-87.74546251
9923304,HY133017,01/29/2015 03:00:49 PM,039XX W PETERSON AVE,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,"SCHOOL, PRIVATE, BUILDING",NO,NO,1711,17.0,39,13,15,41.990271126,-87.726608462
9929840,HY140217,02/04/2015 07:00:42 PM,045XX W GEORGE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,NO,NO,2521,25.0,31,20,14,41.933537787,-87.741417095
9932169,HY141987,02/06/2015 03:20:37 PM,094XX S WENTWORTH AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,YES,NO,634,6.0,21,49,18,41.722052722,-87.628524533
9922605,HY132684,01/29/2015 10:00:26 AM,039XX W GRENSHAW ST,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,YES,NO,1132,11.0,24,29,26,41.867217452,-87.723011634
9921865,HY131652,01/28/2015 11:45:26 AM,026XX S CALUMET AVE,0460,BATTERY,SIMPLE,"SCHOOL, PRIVATE, BUILDING",YES,NO,133,1.0,4,35,08B,41.844614986,-87.618688482
9927066,HY137727,02/03/2015 12:23:15 AM,053XX W WASHINGTON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,NO,NO,1522,15.0,28,25,14,41.882217282,-87.758599586
9938854,HY148904,02/04/2015 07:40:12 AM,013XX S KOSTNER AVE,0560,ASSAULT,SIMPLE,OTHER,NO,NO,1011,10.0,24,29,08A,41.863265815,-87.735024449
9924760,HY134489,01/30/2015 06:30:46 PM,064XX S CARPENTER ST,0560,ASSAULT,SIMPLE,SIDEWALK,NO,NO,724,7.0,16,68,08A,41.776956095,-87.650932767
9920715,HY130704,01/27/2015 02:30:14 PM,016XX W CHICAGO AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,LIBRARY,YES,NO,1215,12.0,1,24,26,41.895947483,-87.668249208
9919335,HY129560,01/26/2015 10:00:51 AM,078XX S SAWYER AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,NO,NO,835,8.0,18,70,05,41.750893368,-87.703786576
9917295,HY127857,01/24/2015 07:00:11 PM,028XX W FITCH AVE,0820,THEFT,$500 AND UNDER,STREET,NO,NO,2411,24.0,50,2,06,42.011271253,-87.699974468
9920539,HY130533,01/26/2015 06:30:56 PM,025XX N LOCKWOOD AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,NO,NO,2515,25.0,31,19,11,41.927554783,-87.758586031
9932172,HY141945,02/05/2015 03:00:35 AM,060XX S TROY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,NO,NO,823,8.0,16,66,14,41.782957193,-87.702178737
9934313,HY144995,02/07/2015 09:00:48 AM,075XX W IRVING PARK RD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,NO,NO,1631,16.0,36,17,11,41.952442305,-87.816340624
9919345,HY129716,01/26/2015 05:30:58 PM,019XX W WAVELAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,NO,YES,1922,19.0,47,5,08B,41.948598896,-87.676954738
9933366,HY143732,02/05/2015 03:00:51 PM,024XX N ALBANY AVE,0820,THEFT,$500 AND UNDER,STREET,NO,NO,1414,14.0,35,22,06,41.92598492,-87.705621598
9916819,HY127220,01/24/2015 02:00:41 PM,033XX W 60TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,NO,NO,823,8.0,16,66,14,41.784245034,-87.707838366
